video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,unique_track,especie_gt,gt,failure_reason,abs_error_cm
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_56,0,255,2,1,True,False,True,3.89595292657773,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_58,0,255,2,1,True,False,True,3.804871275532843,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_58,0,127,1,1,False,False,True,3.39144771711898,True,True,[],[    0.10475    0.084007     0.99094],17.365077683998095,-4.588653687340151,0.5829121925193037,0.25577847695673,0.2539664139521596,23.64821583381193,1.7384042493999003,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.922152304327
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_59,0,255,2,1,True,False,True,3.956639480711592,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_59,0,127,1,1,False,False,True,3.347543892674885,True,True,[],[   0.097898    0.074364     0.99241],19.752333422871285,-6.2784798250600735,0.5894110323186463,0.2584146085091312,0.2611418335446839,22.861310892796656,1.737453925440453,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.658539149086877
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_60,0,255,2,1,True,False,True,3.83193926844806,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_60,0,127,1,1,False,False,True,3.2687109490849418,True,True,[],[    0.12208    0.077419      0.9895],20.524947766983185,-7.741935071088796,0.6114441499928722,0.2557157588021352,0.2615284376370898,23.666937671004405,1.7362286182845934,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.928424119786481
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_61,0,255,2,1,True,False,True,4.032362592546154,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_62,0,255,1,1,False,False,True,3.5977250848031863,True,True,[],[   0.086209    0.084962     0.99265],19.974779400741223,-15.838445824926772,0.5796288239764669,0.2565726449509215,0.2644623865663348,23.41115076091896,1.7328507125686488,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.842735504907846
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_62,0,127,2,1,True,False,True,3.85458892430957,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
